id,url_id,user_id,created_at,type,is_mention
1242258969038589955,None,None,2020-03-24T01:16:32.000Z,None,None
1242258774775095297,None,None,2020-03-24T01:15:46.000Z,None,None
1242259197179260928,33596639,176302369,2020-03-24T01:17:27.000Z,retweet,False
1242259218809438208,33596639,282208555,2020-03-24T01:17:32.000Z,retweet,False
1242259484573040643,None,None,2020-03-24T01:18:35.000Z,None,None
1242259467648958465,33596639,2750297361,2020-03-24T01:18:31.000Z,retweet,False
1242259408547184643,33596639,29501253,2020-03-24T01:18:17.000Z,reply,False
1242259402079404033,33596639,781005052207038464,2020-03-24T01:18:16.000Z,retweet,False
1242259393670008835,33596639,25073877,2020-03-24T01:18:14.000Z,quote,True
1242259386229125120,None,None,2020-03-24T01:18:12.000Z,None,None
1242259379300122630,33596639,703636955544727553,2020-03-24T01:18:10.000Z,retweet,False
1242259206968709120,33596639,17793117,2020-03-24T01:17:29.000Z,retweet,False
1242259374350962693,33596639,4819457631,2020-03-24T01:18:09.000Z,retweet,False
1242259343845855232,33596639,898311607784230912,2020-03-24T01:18:02.000Z,retweet,False
1242259332885962752,None,None,2020-03-24T01:17:59.000Z,None,None
1242259329987854338,None,None,2020-03-24T01:17:58.000Z,None,None
1242259318357065728,33596639,856233144537812993,2020-03-24T01:17:56.000Z,retweet,False
1242259297515552774,33596639,822878228293500928,2020-03-24T01:17:51.000Z,retweet,False
1242259290322137089,33596639,408205858,2020-03-24T01:17:49.000Z,retweet,False
1242259269623222272,None,None,2020-03-24T01:17:44.000Z,None,None
1242259374137106433,None,None,2020-03-24T01:18:09.000Z,None,None
1242258194946297856,33596639,32598110,2020-03-24T01:13:28.000Z,retweet,False
1242258746614648832,33596639,1150902836265279488,2020-03-24T01:15:39.000Z,retweet,False
1242258707989385217,33596639,905133974,2020-03-24T01:15:30.000Z,retweet,False
1242258431773478912,33596639,82265417,2020-03-24T01:14:24.000Z,retweet,False
1242258401436016645,33596639,2200521729,2020-03-24T01:14:17.000Z,retweet,False
1242258399829598208,33596639,4625932753,2020-03-24T01:14:17.000Z,retweet,False
1242258353801138177,None,None,2020-03-24T01:14:06.000Z,None,None
1242258346071085057,33596639,1094713063222108160,2020-03-24T01:14:04.000Z,retweet,False
1242258345123168256,None,None,2020-03-24T01:14:04.000Z,None,None
1242258335002267648,None,None,2020-03-24T01:14:01.000Z,None,None
1242258435556757505,33596639,1222896235926958080,2020-03-24T01:14:25.000Z,retweet,False
1242258320922198017,33596639,102751250,2020-03-24T01:13:58.000Z,retweet,False
1242258311275114496,33596639,724311726,2020-03-24T01:13:56.000Z,retweet,False
1242258307500277760,33596639,734682272306102272,2020-03-24T01:13:55.000Z,retweet,False
1242258303167557632,None,None,2020-03-24T01:13:54.000Z,None,None
1242258255130365954,33596639,1009959332337930240,2020-03-24T01:13:42.000Z,retweet,False
1242258252215111681,None,None,2020-03-24T01:13:42.000Z,None,None
1242258236020940800,33596639,70006806,2020-03-24T01:13:38.000Z,retweet,False
1242258230056755202,33596639,243870390,2020-03-24T01:13:36.000Z,retweet,False
1242258317851774981,None,None,2020-03-24T01:13:57.000Z,None,None
1242258724401676288,33596639,1177285984175742976,2020-03-24T01:15:34.000Z,quote,False
1242258448135401473,33596639,23712980,2020-03-24T01:14:28.000Z,quote,False
