,id,title,date_published,which_half,url,domain,num_tweets,score,site_type,num_peaks,active_days,lifespan,active_ratio
2221,1925009,WaPo Poll: Plurality of Americans Say Mail-In Voting is Vulnerable to Fraud,2020-07-19 20:29:47+00:00,2,https://www.breitbart.com/politics/2020/07/19/wapo-abc-poll-plurality-americans-say-mail-voting-is-vulnerable-fraud/amp/?__twitter_impression=true,breitbart.com,379,7.2243638039,claim,1,4,15,0.26666666666666666
2222,1937853,Indictment of Former Congressman Widens Voter Fraud Case in Philly,2020-07-24 22:28:02+00:00,2,https://www.dailysignal.com/2020/07/24/indictment-of-former-democrat-congressman-widens-voter-fraud-case-in-philadelphia/,dailysignal.com,334,8.7696914673,claim,1,17,108,0.1574074074074074
2223,1935322,Democratic Ex-Congressman Charged With Rigging Votes Bribery Falsifying Records And Obstruction,2020-07-24 00:10:38+00:00,2,https://www.zerohedge.com/political/democratic-ex-congressman-charged-rigging-votes-bribery-falsifying-records-and,zerohedge.com,239,9.2328071594,claim,0,1,1,1.0
2315,1951141,Watch: Local TV News Experiment Exposes Flaws of Vote-by-Mail,2020-07-31 03:06:52+00:00,2,https://www.breitbart.com/politics/2020/07/30/watch-local-tv-news-experiment-exposes-flaws-of-vote-by-mail/,breitbart.com,892,8.0676813126,claim,1,19,44,0.4318181818181818
2316,1949818,4 Men Admit To Voter Fraud Scheme In Los Angeles,2020-07-30 04:00:00+00:00,2,https://dailycaller.com/2020/07/30/men-admit-los-angeles-voter-fraud-scheme/?pnespid=i.VpsaBGDQuNmdb.VhBIhieOvrpdDGgmkGQA7z4t,dailycaller.com,686,9.1673374176,claim,2,23,113,0.20353982300884957
2317,1949995,Local TV Station Tests Out Voting By Mail. It Does Not Go Well.,2020-07-30 18:15:22+00:00,2,https://www.thegatewaypundit.com/2020/07/local-tv-station-tests-voting-mail-not-go/,thegatewaypundit.com,615,8.9778499603,claim,1,14,42,0.3333333333333333
2319,1949838,The President's Trumped-Up Claims of Voter Fraud,2020-07-30 12:10:54+00:00,2,https://www.factcheck.org/2020/07/the-presidents-trumped-up-claims-of-voter-fraud/?platform=hootsuite,factcheck.org,426,9.8835048676,fact_checking,1,54,114,0.47368421052631576
2320,1954941,BREAKING: Nevada Democrats Pass Divisive Mail-In Voting Law 97 Days Out from Election -- ALLOWS ILLEGAL BALLOT HARVESTING!,2020-08-01 22:19:14+00:00,2,https://www.thegatewaypundit.com/2020/08/breaking-nevada-democrats-pass-divisive-mail-voting-law-97-days-election-allows-illegal-ballot-harvesting/?fbclid=IwAR1TBW6b00eKBeyOBm5Zc-Dq7NB0TFIc7j9SFtH4T-Xc2Dnda87Av-ZMoGQ,thegatewaypundit.com,236,83.670425415,claim,1,11,76,0.14473684210526316
2326,1953011,Donald Trump draws false distinction between absentee mail-in voting,2020-07-31 04:00:00+00:00,2,https://www.politifact.com/factchecks/2020/jul/31/donald-trump/donald-trump-draws-false-distinction-between-absen/?fbclid=IwAR2JRomgmV5HqIh1a-5o0dzH-8hzjM9XVc70c3zzvDfIpJjfQ52EYoocuSw,politifact.com,129,10.0030841827,fact_checking,0,27,61,0.4426229508196721
2413,1959303,New NV Law Allows Democrats to Enter Nursing Homes Vote for Dementia Patients without Their Signature (VIDEO),2020-08-04 04:00:56+00:00,2,https://www.thegatewaypundit.com/2020/08/new-nv-law-allows-democrats-enter-nursing-homes-vote-dementia-patients-without-signature-video/?ff_campaign=websitesharingbuttons&ff_medium=PostBottomSharingButtons&ff_source=Twitter,thegatewaypundit.com,5794,22.6008987427,claim,1,49,112,0.4375
2416,1961496,Shock: NBC Admits New York’s Mail-In Ballot System Is a ‘Fiasco’,2020-08-04 04:00:00+00:00,2,https://www.newsbusters.org/blogs/nb/nicholas-fondacaro/2020/08/04/shock-nbc-admits-new-yorks-mail-ballot-system-fiasco,newsbusters.org,897,85.3900299072,claim,1,4,16,0.25
2417,1965808,Vote by Mail Chaos: Liberal Group Sent Thousands of Illegal Incorrect Pre-Filled Absentee Ballot Request Forms to Voters,2020-08-06 19:35:22+00:00,2,https://www.thegatewaypundit.com/2020/08/vote-mail-chaos-liberal-group-sends-thousands-illegal-incorrect-pre-filled-absentee-ballot-request-forms-voters/,thegatewaypundit.com,457,87.22054290770001,claim,1,20,89,0.2247191011235955
