,id,title,url,num_tweets
2455,1601450,‘Overwhelming’ Opposition to Bernie Sanders Among Superdelegates,https://www.breitbart.com/2020-election/2020/02/27/superdelegates-signal-they-wont-back-bernie-sanders-in-a-contested-convention-overwhelming-opposition/,112
2456,1601720,Democrat Super-Delegates May Have Just Ensured Total Chaos at the Convention,https://www.redstate.com/bonchie/2020/02/27/panic-democrat-super-delegates-say-bernie-shouldnt-be-the-nominee-with-just-a-plurality/,103
2545,1611087,Kamala Harris Looks Like A VP As She Brings Down The House At Biden’s Michigan Rally,https://www.politicususa.com/2020/03/09/kamala-harris-sounds-like-a-vp-as-she-brings-down-the-house-at-bidens-michigan-rally.html,4051
2546,1619989,Coronavirus: London Mayoral Election Suspended for 12 Months,https://www.breitbart.com/europe/2020/03/13/coronavirus-london-mayoral-election-suspended-12-months/,2534
2547,1619003,Voter Fraud Ring Caught Rigging Elections for Democrats in Texas,https://neonnettle.com/news/5336-voter-fraud-ring-caught-rigging-elections-for-democrats-in-texas,842
2548,1607293,Bernie Sanders: I'll Drop Out if Biden Has Most Delegates at DNC,https://www.breitbart.com/2020-election/2020/03/05/bernie-sanders-ill-drop-out-if-biden-has-most-delegates-at-convention/,568
2549,1621556,Why is this woman not being talked about every day on this site?,https://www.dailykos.com/stories/2020/3/13/1927289/-Why-is-this-woman-not-being-talked-about-every-day-on-this-site,408
2550,1604981,Thousands Pack Biden’s Dallas Rally As Trump’s Nightmare Of Democratic Unity Comes True,https://www.politicususa.com/2020/03/02/thousands-packed-bidens-dallas-rally-trumps-nightmare-democratic-unity-comes-true.html,291
2551,1605906,Problems Have Sanders Supporters Fearing a Rigged Election,https://www.breitbart.com/politics/2020/03/03/problems-across-super-tuesday-states-have-sanders-supporters-fearing-a-rigged-election/,288
2552,1614810,Democrat Voter Fraud in Minnesota,https://www.frontpagemag.com/fpm/2020/03/democrat-voter-fraud-minnesota-bruce-hendry/,252
2553,1603365,S. Carolina Exit Poll: Two-Thirds Democrats View Bloomberg Unfavorably,https://www.breitbart.com/2020-election/2020/02/29/south-carolina-exit-poll-two-thirds-of-democrats-view-bloomberg-unfavorably/,221
2554,1623402,PA Lawmaker: Coronavirus Could Make In-Person Voting ‘Unrealistic’,https://www.breitbart.com/politics/2020/03/14/pennsylvania-lawmaker-promotes-vote-by-mail-for-primary-coronavirus-could-make-in-person-voting-unrealistic/,141
2555,1604378,The Supreme Court Just Put Obamacare On The Ballot For November,https://www.politicususa.com/2020/03/02/the-supreme-court-just-put-obamacare-on-the-ballot-for-november.html,117
2556,1622455,Voting Rights Roundup: Coronavirus may disrupt elections. The U.S. must enact universal vote-by-mail,https://www.dailykos.com/stories/2020/3/13/1927299/-Voting-Rights-Roundup-Coronavirus-may-disrupt-elections-The-U-S-must-enact-universal-vote-by-mail,113
2557,1608856,California Primary Reveals Nine House Seats Currently Held by Democrats Which Just Might Flip,https://www.redstate.com/elizabeth-vaughn/2020/03/06/california-primary-reveals-nine-house-seats-currently-held-by-democrats-could-be-at-risk/,104
