id,title,date_published,url,domain,num_tweets,score,site_type
825681,Oh NOEZ! Guy Benson notices polling trend that should TERRIFY Dems threatening #SchumerShutdown,2018-01-19T12:54:21.000Z,https://twitchy.com/samj-3930/2018/01/19/oh-noez-guy-benson-notices-polling-trend-that-should-terrify-dems-threatening-schumershutdown/,twitchy.com,88,7.4661049843,claim
825892,The Nuclear Option: Jeff Flake Is Stupid Fake News,2018-01-19T22:32:29.000Z,http://www.breitbart.com/big-government/2018/01/19/nuclear-option-jeff-flake-stupid-fake-news/amp/,breitbart.com,85,7.2469677925,claim
827822,If this CNN poll is any indication the tax cuts could be VERY helpful to the GOP in November,2018-01-21T13:58:31.000Z,https://twitchy.com/jacobb-38/2018/01/21/if-this-cnn-poll-is-any-indication-the-tax-cuts-could-be-very-helpful-to-the-gop-in-november/,twitchy.com,81,9.7639217377,claim
825771,Donald Trump Speaks at March for Life: ‘Life Is the Greatest Miracle of All’,2018-01-19T19:39:15.000Z,http://www.breitbart.com/big-government/2018/01/19/trump-speaks-march-life-life-greatest-miracle/amp/,breitbart.com,76,6.9493384361,claim
824792,President Trump Congratulates Log Cabin Republicans on 40th Anniversary,2018-01-18T19:06:34.000Z,http://www.breitbart.com/big-government/2018/01/18/president-trump-congratulates-log-cabin-republicans-40th-anniversary/amp/,breitbart.com,73,6.9493384361,claim
824783,Pelosi: GOP Continuing Resolution 'a Bowl of Doggie Doo' With a 'Cherry on Top',2018-01-18T18:36:32.000Z,http://www.breitbart.com/video/2018/01/18/pelosi-gop-continuing-resolution-bowl-doggie-doo-cherry-top/amp/,breitbart.com,66,7.5826840401,claim
824783,Pelosi: GOP Continuing Resolution 'a Bowl of Doggie Doo' With a 'Cherry on Top',2018-01-18T18:36:32.000Z,http://www.breitbart.com/video/2018/01/18/pelosi-gop-continuing-resolution-bowl-doggie-doo-cherry-top/amp/?__twitter_impression=true,breitbart.com,66,7.5826840401,claim
818185,Federal Appeals Court Upholds Tennessee Ballot Measure Stripping Right to Abortion from State Constitution,2018-01-13T02:42:20.000Z,http://www.breitbart.com/big-government/2018/01/12/federal-appeals-court-upholds-tennessee-ballot-measure-stripping-right-abortion-state-constitution/,breitbart.com,54,76.2626342773,claim
818185,Federal Appeals Court Upholds Tennessee Ballot Measure Stripping Right to Abortion from State Constitution,2018-01-13T02:42:20.000Z,http://www.breitbart.com/big-government/2018/01/12/federal-appeals-court-upholds-tennessee-ballot-measure-stripping-right-abortion-state-constitution/amp/,breitbart.com,54,75.6550445557,claim
825912,Facebook Will Rank 'Trusted Sources' of News Based on 'User Surveys',2018-01-19T22:23:07.000Z,http://www.breitbart.com/tech/2018/01/19/facebook-will-rank-trusted-sources-of-news-based-on-user-surveys/amp/?__twitter_impression=true,breitbart.com,45,6.6836619377,claim
825750,Stephen A Smith: NFL 'Desperately' Needs Brady in Super Bowl to Stymie Ratings Collapse,2018-01-19T16:16:32.000Z,http://www.breitbart.com/video/2018/01/19/stephen-smith-nfl-desperately-needs-brady-super-bowl-stymie-ratings-collapse/amp/,breitbart.com,43,6.9493384361,claim
